gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2304,6144,torch.float8_e4m3fn,flydsl,373,0,9.7691,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x0x2_default,2.9,1450.14,0.0
gfx950,256,2,2304,6144,torch.float8_e4m3fn,flydsl,617,0,9.8726,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x0x2_default,5.74,1436.02,0.0
gfx950,256,4,2304,6144,torch.float8_e4m3fn,flydsl,373,0,9.8887,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x0x2_default,11.45,1435.86,0.0
gfx950,256,8,2304,6144,torch.float8_e4m3fn,flydsl,125,0,10.0588,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x2_default,22.52,1415.85,0.0
gfx950,256,16,2304,6144,torch.float8_e4m3fn,ck,24,0,10.1128,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,44.79,1416.8,0.0
gfx950,256,32,2304,6144,torch.float8_e4m3fn,ck,10,0,9.9782,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,90.79,1453.15,0.0
gfx950,256,64,2304,6144,torch.float8_e4m3fn,flydsl,1010,0,10.4862,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x4x2_default,172.79,1415.57,0.0
gfx950,256,128,2304,6144,torch.float8_e4m3fn,flydsl,1949,0,11.7606,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x3x4x1_default,308.14,1320.68,0.0
gfx950,256,256,2304,6144,torch.float8_e4m3fn,flydsl,1476,0,15.1467,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x1x4x1_default,478.5,1116.3,0.0
gfx950,256,512,2304,6144,torch.float8_e4m3fn,flydsl,456,0,20.0982,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x1x4x2_default,721.23,978.24,0.0
gfx950,256,1024,2304,6144,torch.float8_e4m3fn,flydsl,702,0,27.7556,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x2x4x2_default,1044.51,906.69,0.0
gfx950,256,2048,2304,6144,torch.float8_e4m3fn,cktile,253,0,42.9048,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_96x128x256_1x4x1_16x16x128_default,1351.41,843.17,0.0
gfx950,256,4096,2304,6144,torch.float8_e4m3fn,flydsl,1882,0,66.3471,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x2x4x1_default,1747.84,877.14,0.0
gfx950,256,8192,2304,6144,torch.float8_e4m3fn,flydsl,235,0,111.2217,flydsl_bpreshuflle_128x192x128_F8_F8_B16_1x0x4x2_default,2085.28,919.21,0.0
gfx950,256,16384,2304,6144,torch.float8_e4m3fn,flydsl,1822,0,197.9575,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x2x0x1_default,2343.21,961.4,0.0
gfx950,256,32768,2304,6144,torch.float8_e4m3fn,flydsl,667,0,389.1415,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x0x2_default,2384.0,941.76,0.0
gfx950,256,1,2560,6144,torch.float8_e4m3fn,flydsl,617,0,9.8391,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x0x2_default,3.2,1599.73,0.0
gfx950,256,2,2560,6144,torch.float8_e4m3fn,flydsl,905,0,9.8734,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x4x2_default,6.37,1595.31,0.0
gfx950,256,4,2560,6144,torch.float8_e4m3fn,flydsl,311,0,10.4623,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x4x2_default,12.03,1507.67,0.0
gfx950,256,8,2560,6144,torch.float8_e4m3fn,flydsl,905,0,10.241,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x4x2_default,24.57,1544.65,0.0
gfx950,256,16,2560,6144,torch.float8_e4m3fn,ck,24,0,10.2035,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,49.33,1559.16,0.0
gfx950,256,32,2560,6144,torch.float8_e4m3fn,ck,10,0,9.5662,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,105.23,1681.87,0.0
gfx950,256,64,2560,6144,torch.float8_e4m3fn,flydsl,187,0,10.5842,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x4x2_default,190.21,1554.16,0.0
gfx950,256,128,2560,6144,torch.float8_e4m3fn,flydsl,686,0,11.8189,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x2x4x2_default,340.69,1452.79,0.0
gfx950,256,256,2560,6144,torch.float8_e4m3fn,flydsl,686,0,14.5963,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x2x4x2_default,551.72,1275.13,0.0
gfx950,256,512,2560,6144,torch.float8_e4m3fn,flydsl,208,0,20.167,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x0x4x2_default,798.64,1065.89,0.0
gfx950,256,1024,2560,6144,torch.float8_e4m3fn,cktile,99,0,29.5115,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_96x128x256_1x4x1_16x16x128_default,1091.52,923.81,0.0
gfx950,256,2048,2560,6144,torch.float8_e4m3fn,flydsl,1152,0,45.2497,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x4x4x2_default,1423.76,857.4,0.0
gfx950,256,4096,2560,6144,torch.float8_e4m3fn,cktile,115,0,73.4192,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x128_default,1754.98,842.64,0.0
gfx950,256,8192,2560,6144,torch.float8_e4m3fn,flydsl,667,0,126.5784,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x0x2_default,2035.88,853.25,0.0
gfx950,256,16384,2560,6144,torch.float8_e4m3fn,flydsl,667,0,213.608,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x0x2_default,2412.81,937.6,0.0
gfx950,256,32768,2560,6144,torch.float8_e4m3fn,ck,33,0,417.7201,a8w8_bpreshuffle_256x256x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2467.66,921.26,0.0
gfx950,256,1,6144,2048,torch.float8_e4m3fn,flydsl,497,0,5.3283,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x2x0x2_default,4.72,2364.22,0.0
gfx950,256,1,6144,3072,torch.float8_e4m3fn,flydsl,187,0,6.6639,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x4x2_default,5.66,2834.64,0.0
gfx950,256,1,6144,6144,torch.float8_e4m3fn,flydsl,849,0,10.6868,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x0x2_default,7.06,3534.0,0.0
gfx950,256,2,6144,2048,torch.float8_e4m3fn,flydsl,961,0,5.2924,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x0x2_default,9.51,2382.96,0.0
gfx950,256,2,6144,3072,torch.float8_e4m3fn,flydsl,187,0,6.7278,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x4x2_default,11.22,2810.0,0.0
gfx950,256,2,6144,6144,torch.float8_e4m3fn,flydsl,1108,0,10.6472,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x4x4x2_default,14.18,3548.88,0.0
gfx950,256,4,6144,2048,torch.float8_e4m3fn,flydsl,737,0,5.2401,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x3x0x2_default,19.21,2412.22,0.0
gfx950,256,4,6144,3072,torch.float8_e4m3fn,flydsl,905,0,6.7774,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x4x2_default,22.28,2793.96,0.0
gfx950,256,4,6144,6144,torch.float8_e4m3fn,flydsl,905,0,10.6952,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x4x2_default,28.24,3536.4,0.0
gfx950,256,8,6144,2048,torch.float8_e4m3fn,flydsl,497,0,5.301,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x2x0x2_default,37.98,2395.32,0.0
gfx950,256,8,6144,3072,torch.float8_e4m3fn,flydsl,677,0,6.861,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x4x2_default,44.02,2768.87,0.0
gfx950,256,8,6144,6144,torch.float8_e4m3fn,flydsl,373,0,10.8325,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x0x2_default,55.76,3498.38,0.0
gfx950,256,16,6144,2048,torch.float8_e4m3fn,flydsl,1,0,5.4296,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x0x0x2_default,74.16,2359.71,0.0
gfx950,256,16,6144,3072,torch.float8_e4m3fn,ck,10,0,6.0632,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,99.61,3153.47,0.0
gfx950,256,16,6144,6144,torch.float8_e4m3fn,ck,10,0,10.3665,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,116.53,3669.86,0.0
gfx950,256,32,6144,2048,torch.float8_e4m3fn,flydsl,905,0,5.4891,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x4x2_default,146.71,2375.92,0.0
gfx950,256,32,6144,3072,torch.float8_e4m3fn,flydsl,677,0,7.1026,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x4x2_default,170.07,2726.59,0.0
gfx950,256,32,6144,6144,torch.float8_e4m3fn,flydsl,677,0,11.3922,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x4x2_default,212.07,3365.33,0.0
gfx950,256,64,6144,2048,torch.float8_e4m3fn,flydsl,2175,0,6.0687,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x4x4x1_default,265.4,2224.6,0.0
gfx950,256,64,6144,3072,torch.float8_e4m3fn,flydsl,444,0,7.9618,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x1x4x2_default,303.44,2494.09,0.0
gfx950,256,64,6144,6144,torch.float8_e4m3fn,flydsl,1228,0,12.6666,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x0x4x1_default,381.46,3073.31,0.0
gfx950,256,128,6144,2048,torch.float8_e4m3fn,flydsl,926,0,7.8205,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x3x4x2_default,411.9,1843.61,0.0
gfx950,256,128,6144,3072,torch.float8_e4m3fn,flydsl,456,0,10.6442,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x1x4x2_default,453.94,1957.92,0.0
gfx950,256,128,6144,6144,torch.float8_e4m3fn,flydsl,1129,0,18.4213,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x4x4x2_default,524.59,2177.26,0.0
gfx950,256,256,6144,2048,torch.float8_e4m3fn,flydsl,210,0,9.3846,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x0x4x2_default,686.49,1731.87,0.0
gfx950,256,256,6144,3072,torch.float8_e4m3fn,flydsl,210,0,12.6243,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x0x4x2_default,765.48,1806.56,0.0
gfx950,256,256,6144,6144,torch.float8_e4m3fn,flydsl,210,0,22.4831,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x0x4x2_default,859.64,1888.86,0.0
gfx950,256,512,6144,2048,torch.float8_e4m3fn,flydsl,702,0,12.1796,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x2x4x2_default,1057.91,1635.76,0.0
gfx950,256,512,6144,3072,torch.float8_e4m3fn,flydsl,212,0,16.3565,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x0x4x2_default,1181.63,1634.74,0.0
gfx950,256,512,6144,6144,torch.float8_e4m3fn,flydsl,460,0,29.8384,flydsl_bpreshuflle_64x192x256_F8_F8_B16_1x1x4x2_default,1295.47,1581.38,0.0
gfx950,256,1024,6144,2048,torch.float8_e4m3fn,flydsl,954,0,19.3652,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x3x4x2_default,1330.73,1407.83,0.0
gfx950,256,1024,6144,3072,torch.float8_e4m3fn,flydsl,234,0,26.9088,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x0x4x2_default,1436.51,1285.94,0.0
gfx950,256,1024,6144,6144,torch.float8_e4m3fn,flydsl,954,0,46.4606,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x3x4x2_default,1663.98,1218.73,0.0
gfx950,256,2048,6144,2048,torch.float8_e4m3fn,flydsl,1640,0,30.5448,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x1x4x1_default,1687.34,1373.16,0.0
gfx950,256,2048,6144,3072,torch.float8_e4m3fn,flydsl,1640,0,42.4077,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x1x4x1_default,1823.0,1186.85,0.0
gfx950,256,2048,6144,6144,torch.float8_e4m3fn,flydsl,1392,0,74.7692,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x0x4x1_default,2067.95,1009.74,0.0
gfx950,256,4096,6144,2048,torch.float8_e4m3fn,flydsl,727,0,58.3986,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,1765.1,1220.97,0.0
gfx950,256,4096,6144,3072,torch.float8_e4m3fn,flydsl,1882,0,74.2539,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x2x4x1_default,2082.3,1101.48,0.0
gfx950,256,4096,6144,6144,torch.float8_e4m3fn,flydsl,727,0,131.9111,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,2344.29,858.5,0.0
gfx950,256,8192,6144,2048,torch.float8_e4m3fn,flydsl,727,0,104.8495,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,1966.23,1240.1,0.0
gfx950,256,8192,6144,3072,torch.float8_e4m3fn,flydsl,727,0,141.2859,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,2188.74,1024.19,0.0
gfx950,256,8192,6144,6144,torch.float8_e4m3fn,flydsl,727,0,246.1422,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,2512.67,766.81,0.0
gfx950,256,16384,6144,2048,torch.float8_e4m3fn,flydsl,727,0,194.4482,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,2120.45,1272.65,0.0
gfx950,256,16384,6144,3072,torch.float8_e4m3fn,flydsl,1641,0,270.2856,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x1x4x1_default,2288.23,1000.91,0.0
gfx950,256,16384,6144,6144,torch.float8_e4m3fn,flydsl,727,0,477.2124,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,2592.03,711.92,0.0
gfx950,256,32768,6144,2048,torch.float8_e4m3fn,flydsl,727,0,377.6934,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x4x2_default,2183.34,1277.08,0.0
gfx950,256,32768,6144,3072,torch.float8_e4m3fn,flydsl,1641,0,537.4606,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x1x4x1_default,2301.47,971.59,0.0
gfx950,256,32768,6144,6144,torch.float8_e4m3fn,cktile,55,0,994.477,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x192x128_1x4x1_16x16x128_default,2487.64,645.29,0.0
